PRODUCT,2000,2001,2002,2003,2004,2005,2006,2007,2008
PEARS,14486,14094,12427,10529,11000,11446,13994,12794,12953
PATCHOULI,12392,10803,11084,13239,11009,13313,11649,13193,11047
BAYRUM,11555,13893,12961,11229,10572,12922,11987,13454,11938
HARPIC,10944,10828,13802,13851,13841,14426,11922,11904,11118
PINE TAR,10520,14050,13968,13137,11578,11681,12663,10559,13311
DOVE,12695,11341,12340,12699,12021,11502,10229,10042,10262
ALOVERA,12905,14286,14063,10605,10725,11555,13020,14503,13777
VEGAN,14372,12236,13583,14072,13326,14360,13964,10075,14471
BODY WASH,13127,12582,14348,12662,10184,11710,11468,10373,12639
ROSEMARY,11540,12111,12042,10123,11880,12276,10196,13229,14085
